Unnamed: 0,track_id,track_name,track_popularity,track_album_release_date,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,album_id,album_name,album_image,main_artist_id,artist,genres
400,3hlGuz3loYoLfI3bpwieWq,I Hate It Here,86,2024-04-19,0.378,0.564,2,-7.107,1,0.0355,0.763,0.0,0.359,0.267,104.977,243875,5H7ixXZfsNMGbIE5OBSpcb,THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY,https://i.scdn.co/image/ab67616d0000b2738ecc33f195df6aa257c39eaa,06HL4z0CvFAxyc27GXpf02,taylor swift,pop
401,5xKO9fHKGG5qzTCKuc9OGK,One Kiss,41,2024-04-28,0.666,0.838,2,-3.972,1,0.0267,0.0294,0.0,0.274,0.684,106.013,212062,4DdDtcluroMFPVLWFKykqk,RIIZING,https://i.scdn.co/image/ab67616d0000b2734d4c3b0dc9e24e3beb94325e,2jOm3cYujQx6o1dxuiuqaX,riize,5th gen kpop
402,03S9ATtLIBqudkXFQsajpQ,Honestly,43,2024-04-28,0.59,0.546,5,-7.446,1,0.0288,0.00343,0.0,0.0932,0.365,145.963,194090,4DdDtcluroMFPVLWFKykqk,RIIZING,https://i.scdn.co/image/ab67616d0000b2734d4c3b0dc9e24e3beb94325e,2jOm3cYujQx6o1dxuiuqaX,riize,5th gen kpop
403,7ogK4lJDVDMU6A6vYR5rvD,thanK you aIMee,87,2024-04-19,0.619,0.533,7,-7.994,1,0.0337,0.613,0.0,0.125,0.287,95.956,263817,5H7ixXZfsNMGbIE5OBSpcb,THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY,https://i.scdn.co/image/ab67616d0000b2738ecc33f195df6aa257c39eaa,06HL4z0CvFAxyc27GXpf02,taylor swift,pop
404,1rmEsOezwf2lmIZTMAO5Ag,Chloe or Sam or Sophia or Marcus,86,2024-04-19,0.508,0.45,0,-8.495,1,0.0419,0.779,0.0,0.105,0.266,69.993,213281,5H7ixXZfsNMGbIE5OBSpcb,THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY,https://i.scdn.co/image/ab67616d0000b2738ecc33f195df6aa257c39eaa,06HL4z0CvFAxyc27GXpf02,taylor swift,pop
405,1Zai5UJ2di3qEuR2HeT2s8,I Look in People's Windows,85,2024-04-19,0.762,0.268,1,-11.429,0,0.0648,0.692,0.0,0.154,0.382,90.835,131907,5H7ixXZfsNMGbIE5OBSpcb,THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY,https://i.scdn.co/image/ab67616d0000b2738ecc33f195df6aa257c39eaa,06HL4z0CvFAxyc27GXpf02,taylor swift,pop
406,2913xXOVAIDAqxzV2g4VcU,The Bolter,84,2024-04-19,0.447,0.588,0,-7.95,1,0.0557,0.6,0.0,0.134,0.569,183.669,238241,5H7ixXZfsNMGbIE5OBSpcb,THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY,https://i.scdn.co/image/ab67616d0000b2738ecc33f195df6aa257c39eaa,06HL4z0CvFAxyc27GXpf02,taylor swift,pop
407,3zMDGj4D8ogaYgAIZPeU7S,Peter,84,2024-04-19,0.348,0.394,0,-8.258,1,0.0412,0.767,0.0,0.0628,0.264,178.199,283957,5H7ixXZfsNMGbIE5OBSpcb,THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY,https://i.scdn.co/image/ab67616d0000b2738ecc33f195df6aa257c39eaa,06HL4z0CvFAxyc27GXpf02,taylor swift,pop
408,0g4fMVo4JjwnIpTfFfLdxS,Cassandra,84,2024-04-19,0.582,0.599,10,-9.811,1,0.0652,0.82,0.0,0.17,0.518,140.015,240205,5H7ixXZfsNMGbIE5OBSpcb,THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY,https://i.scdn.co/image/ab67616d0000b2738ecc33f195df6aa257c39eaa,06HL4z0CvFAxyc27GXpf02,taylor swift,pop
409,0bMWoFtQIrnW5YyNMc4aKQ,I’ll See You There Tomorrow,78,2024-04-01,0.748,0.827,4,-5.242,1,0.0512,0.146,0.0,0.265,0.645,121.031,196694,0mDwrOXZHN1lgCNeBvkBbj,minisode 3: TOMORROW,https://i.scdn.co/image/ab67616d0000b27303c996028737858321d2ffe0,0ghlgldX5Dd6720Q3qFyQB,tomorrow x together,kpop kpop boy group
